Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR15969064_1	(13.0, 1.0)	(14.0, 3.0)	(15.0, 6.0)	(16.0, 19.0)	(17.0, 45.0)	(18.0, 135.0)	(19.0, 332.0)	(20.0, 563.0)	(21.0, 885.0)	(22.0, 1471.0)	(23.0, 2376.0)	(24.0, 3974.0)	(25.0, 5601.0)	(26.0, 7744.0)	(27.0, 11734.0)	(28.0, 16996.0)	(29.0, 24498.0)	(30.0, 34923.0)	(31.0, 49966.0)	(32.0, 72297.0)	(33.0, 108273.0)	(34.0, 178622.0)	(35.0, 397727.0)	(36.0, 2629659.0)	(37.0, 259068.0)								
SRR15969064_2	(5.0, 1.0)	(6.0, 1.0)	(7.0, 0.0)	(8.0, 2.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 26.0)	(13.0, 83.0)	(14.0, 164.0)	(15.0, 206.0)	(16.0, 203.0)	(17.0, 271.0)	(18.0, 366.0)	(19.0, 628.0)	(20.0, 1148.0)	(21.0, 2083.0)	(22.0, 3630.0)	(23.0, 5372.0)	(24.0, 7260.0)	(25.0, 9047.0)	(26.0, 11543.0)	(27.0, 15107.0)	(28.0, 20887.0)	(29.0, 28699.0)	(30.0, 41480.0)	(31.0, 60048.0)	(32.0, 91404.0)	(33.0, 151968.0)	(34.0, 327920.0)	(35.0, 1013232.0)	(36.0, 1975349.0)	(37.0, 38789.0)
SRR15969065_1	(14.0, 3.0)	(15.0, 5.0)	(16.0, 16.0)	(17.0, 27.0)	(18.0, 74.0)	(19.0, 117.0)	(20.0, 207.0)	(21.0, 384.0)	(22.0, 615.0)	(23.0, 981.0)	(24.0, 1655.0)	(25.0, 2721.0)	(26.0, 4237.0)	(27.0, 6764.0)	(28.0, 10287.0)	(29.0, 14934.0)	(30.0, 21353.0)	(31.0, 30489.0)	(32.0, 44031.0)	(33.0, 67222.0)	(34.0, 119663.0)	(35.0, 306999.0)	(36.0, 2860900.0)	(37.0, 527112.0)									
SRR15969065_2	(12.0, 11.0)	(13.0, 46.0)	(14.0, 68.0)	(15.0, 94.0)	(16.0, 134.0)	(17.0, 130.0)	(18.0, 207.0)	(19.0, 317.0)	(20.0, 494.0)	(21.0, 831.0)	(22.0, 1406.0)	(23.0, 2136.0)	(24.0, 3309.0)	(25.0, 4337.0)	(26.0, 5795.0)	(27.0, 7838.0)	(28.0, 10631.0)	(29.0, 14807.0)	(30.0, 20999.0)	(31.0, 30769.0)	(32.0, 49230.0)	(33.0, 90456.0)	(34.0, 221069.0)	(35.0, 798440.0)	(36.0, 2643225.0)	(37.0, 114017.0)							
SRR15969066_1	(14.0, 3.0)	(15.0, 17.0)	(16.0, 42.0)	(17.0, 54.0)	(18.0, 120.0)	(19.0, 176.0)	(20.0, 274.0)	(21.0, 425.0)	(22.0, 644.0)	(23.0, 937.0)	(24.0, 1462.0)	(25.0, 2380.0)	(26.0, 4360.0)	(27.0, 7593.0)	(28.0, 12457.0)	(29.0, 18999.0)	(30.0, 27156.0)	(31.0, 37304.0)	(32.0, 51539.0)	(33.0, 74574.0)	(34.0, 125526.0)	(35.0, 304201.0)	(36.0, 3088713.0)	(37.0, 707982.0)									
SRR15969066_2	(11.0, 2.0)	(12.0, 43.0)	(13.0, 118.0)	(14.0, 155.0)	(15.0, 206.0)	(16.0, 202.0)	(17.0, 252.0)	(18.0, 308.0)	(19.0, 461.0)	(20.0, 612.0)	(21.0, 1051.0)	(22.0, 1552.0)	(23.0, 2464.0)	(24.0, 3519.0)	(25.0, 4836.0)	(26.0, 6413.0)	(27.0, 8809.0)	(28.0, 12164.0)	(29.0, 16721.0)	(30.0, 23036.0)	(31.0, 32845.0)	(32.0, 49432.0)	(33.0, 81820.0)	(34.0, 168846.0)	(35.0, 565102.0)	(36.0, 3248299.0)	(37.0, 237670.0)						
SRR15969067_1	(13.0, 1.0)	(14.0, 7.0)	(15.0, 16.0)	(16.0, 34.0)	(17.0, 54.0)	(18.0, 118.0)	(19.0, 197.0)	(20.0, 365.0)	(21.0, 667.0)	(22.0, 1007.0)	(23.0, 1475.0)	(24.0, 1962.0)	(25.0, 2510.0)	(26.0, 3735.0)	(27.0, 5656.0)	(28.0, 8849.0)	(29.0, 13597.0)	(30.0, 20008.0)	(31.0, 28611.0)	(32.0, 40758.0)	(33.0, 60689.0)	(34.0, 105917.0)	(35.0, 258554.0)	(36.0, 2636155.0)	(37.0, 600159.0)								
SRR15969067_2	(12.0, 22.0)	(13.0, 68.0)	(14.0, 135.0)	(15.0, 138.0)	(16.0, 142.0)	(17.0, 187.0)	(18.0, 218.0)	(19.0, 334.0)	(20.0, 499.0)	(21.0, 814.0)	(22.0, 1290.0)	(23.0, 1864.0)	(24.0, 2700.0)	(25.0, 3665.0)	(26.0, 4913.0)	(27.0, 6801.0)	(28.0, 9224.0)	(29.0, 12648.0)	(30.0, 17729.0)	(31.0, 25596.0)	(32.0, 38977.0)	(33.0, 65777.0)	(34.0, 140898.0)	(35.0, 485765.0)	(36.0, 2785331.0)	(37.0, 185366.0)							
SRR15969068_1	(14.0, 7.0)	(15.0, 31.0)	(16.0, 49.0)	(17.0, 85.0)	(18.0, 155.0)	(19.0, 209.0)	(20.0, 330.0)	(21.0, 475.0)	(22.0, 638.0)	(23.0, 911.0)	(24.0, 1378.0)	(25.0, 2090.0)	(26.0, 3435.0)	(27.0, 5950.0)	(28.0, 9861.0)	(29.0, 15546.0)	(30.0, 22589.0)	(31.0, 32494.0)	(32.0, 46397.0)	(33.0, 69062.0)	(34.0, 119502.0)	(35.0, 293389.0)	(36.0, 3138142.0)	(37.0, 745427.0)									
SRR15969068_2	(11.0, 1.0)	(12.0, 17.0)	(13.0, 95.0)	(14.0, 186.0)	(15.0, 167.0)	(16.0, 190.0)	(17.0, 254.0)	(18.0, 328.0)	(19.0, 405.0)	(20.0, 535.0)	(21.0, 759.0)	(22.0, 1149.0)	(23.0, 1722.0)	(24.0, 2346.0)	(25.0, 3131.0)	(26.0, 4426.0)	(27.0, 5971.0)	(28.0, 8622.0)	(29.0, 12194.0)	(30.0, 17363.0)	(31.0, 25577.0)	(32.0, 39796.0)	(33.0, 67397.0)	(34.0, 146849.0)	(35.0, 516473.0)	(36.0, 3381428.0)	(37.0, 270771.0)						
SRR15969069_1	(14.0, 4.0)	(15.0, 13.0)	(16.0, 20.0)	(17.0, 42.0)	(18.0, 54.0)	(19.0, 130.0)	(20.0, 229.0)	(21.0, 431.0)	(22.0, 701.0)	(23.0, 1104.0)	(24.0, 1615.0)	(25.0, 2275.0)	(26.0, 3467.0)	(27.0, 5736.0)	(28.0, 9414.0)	(29.0, 15034.0)	(30.0, 22118.0)	(31.0, 31867.0)	(32.0, 45621.0)	(33.0, 68129.0)	(34.0, 118675.0)	(35.0, 299260.0)	(36.0, 2866783.0)	(37.0, 570059.0)									
SRR15969069_2	(11.0, 1.0)	(12.0, 19.0)	(13.0, 64.0)	(14.0, 83.0)	(15.0, 96.0)	(16.0, 116.0)	(17.0, 136.0)	(18.0, 219.0)	(19.0, 285.0)	(20.0, 492.0)	(21.0, 806.0)	(22.0, 1361.0)	(23.0, 2195.0)	(24.0, 3043.0)	(25.0, 4320.0)	(26.0, 5848.0)	(27.0, 8184.0)	(28.0, 11174.0)	(29.0, 15815.0)	(30.0, 22237.0)	(31.0, 32824.0)	(32.0, 50443.0)	(33.0, 86560.0)	(34.0, 188988.0)	(35.0, 639444.0)	(36.0, 2826909.0)	(37.0, 161119.0)						
SRR15969070_1	(14.0, 3.0)	(15.0, 24.0)	(16.0, 46.0)	(17.0, 81.0)	(18.0, 130.0)	(19.0, 233.0)	(20.0, 372.0)	(21.0, 711.0)	(22.0, 1228.0)	(23.0, 1711.0)	(24.0, 2315.0)	(25.0, 3348.0)	(26.0, 4866.0)	(27.0, 7748.0)	(28.0, 12080.0)	(29.0, 18057.0)	(30.0, 25984.0)	(31.0, 36860.0)	(32.0, 50843.0)	(33.0, 74299.0)	(34.0, 127053.0)	(35.0, 303430.0)	(36.0, 3018355.0)	(37.0, 687092.0)									
SRR15969070_2	(12.0, 26.0)	(13.0, 111.0)	(14.0, 168.0)	(15.0, 150.0)	(16.0, 205.0)	(17.0, 250.0)	(18.0, 343.0)	(19.0, 410.0)	(20.0, 602.0)	(21.0, 1019.0)	(22.0, 1625.0)	(23.0, 2497.0)	(24.0, 3601.0)	(25.0, 4985.0)	(26.0, 6609.0)	(27.0, 9126.0)	(28.0, 12300.0)	(29.0, 17169.0)	(30.0, 23410.0)	(31.0, 33876.0)	(32.0, 51392.0)	(33.0, 86721.0)	(34.0, 185401.0)	(35.0, 623653.0)	(36.0, 3118956.0)	(37.0, 192264.0)							
SRR15969071_1	(13.0, 1.0)	(14.0, 14.0)	(15.0, 26.0)	(16.0, 40.0)	(17.0, 75.0)	(18.0, 156.0)	(19.0, 247.0)	(20.0, 517.0)	(21.0, 981.0)	(22.0, 1585.0)	(23.0, 2239.0)	(24.0, 2727.0)	(25.0, 3506.0)	(26.0, 4746.0)	(27.0, 7001.0)	(28.0, 10732.0)	(29.0, 15578.0)	(30.0, 22477.0)	(31.0, 31523.0)	(32.0, 44289.0)	(33.0, 65137.0)	(34.0, 110744.0)	(35.0, 266919.0)	(36.0, 2687923.0)	(37.0, 602826.0)								
SRR15969071_2	(12.0, 17.0)	(13.0, 99.0)	(14.0, 148.0)	(15.0, 198.0)	(16.0, 206.0)	(17.0, 224.0)	(18.0, 330.0)	(19.0, 405.0)	(20.0, 593.0)	(21.0, 900.0)	(22.0, 1400.0)	(23.0, 2201.0)	(24.0, 3032.0)	(25.0, 4037.0)	(26.0, 5519.0)	(27.0, 7552.0)	(28.0, 10192.0)	(29.0, 13997.0)	(30.0, 19709.0)	(31.0, 27651.0)	(32.0, 42063.0)	(33.0, 70254.0)	(34.0, 147273.0)	(35.0, 500800.0)	(36.0, 2835009.0)	(37.0, 188200.0)							
