Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR15969064_1	(1, 0.024402942222553785)	(2, 0.011058814505592188)	(3, 0.007433834928937266)	(4, 0.0)	(5, 0.04835932899001239)	(6, 0.0007092351345629194)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.03206793526942267)	(50, 0.0)	(55, 0.0)	(60, 0.0020594086870271435)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.0507187178709918e-05)	(100, 0.0)	(105, 0.03240416525914139)	(110, 0.0)	(115, 0.0)	(120, 0.032708873687323975)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969064_2	(1, 0.06874327211670962)	(2, 0.001392202301179064)	(3, 0.010769866858177666)	(4, 0.00026267967946774795)	(5, 0.0)	(6, 0.0005253593589354959)	(7, 0.0)	(8, 0.0)	(9, 0.00013133983973387397)	(10, 0.0)	(15, 2.1014374357419835e-05)	(20, 6.829671666161446e-05)	(25, 8.93110910190343e-05)	(30, 0.00018387577562742355)	(35, 6.304312307225951e-05)	(40, 0.00014710062050193884)	(45, 9.98182781977442e-05)	(50, 0.00017336858844871364)	(55, 0.0004202874871483967)	(60, 0.0005306129525248507)	(65, 0.00023115811793161816)	(70, 0.00026267967946774795)	(75, 0.0004833306102206562)	(80, 0.0004833306102206562)	(85, 0.0005673881076503355)	(90, 0.0003257228025400074)	(95, 0.0004938377973993661)	(100, 0.0005253593589354959)	(105, 0.0007407566960990491)	(110, 0.00046231623586323633)	(115, 0.00033622998971871736)	(120, 0.00035199077048678223)	(125, 0.0006724599794374347)	(130, 0.0009509004396732474)	(135, 0.0009403932524945376)	(140, 0.0007302495089203392)	(145, 0.0008458285678861483)	(150, 0.0009193788781371177)
SRR15969065_1	(1, 0.06792187417615815)	(2, 0.0)	(3, 0.014648840677318621)	(4, 0.0)	(5, 0.11443007802435139)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.05004481699643553)	(50, 0.0)	(55, 0.0)	(60, 0.005093518795780736)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 4.974139449004625e-06)	(100, 0.0)	(105, 0.051154050093563566)	(110, 0.0)	(115, 0.0)	(120, 0.05209913658887444)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.974139449004625e-06)	(145, 0.0)	(150, 0.0)
SRR15969065_2	(1, 0.15608849590976515)	(2, 0.0)	(3, 0.02723341348330032)	(4, 0.0)	(5, 0.0)	(6, 0.00034818976143032374)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.4922418347013875e-05)	(120, 4.974139449004625e-06)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969066_1	(1, 0.07365224231901137)	(2, 0.0)	(3, 0.01497670216152541)	(4, 2.238669979301257e-05)	(5, 0.11670186602097456)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04356451779720247)	(50, 0.0)	(55, 0.0)	(60, 0.005390717310157428)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.3432019875807544e-05)	(100, 0.0)	(105, 0.04359138183695408)	(110, 0.0)	(115, 0.0)	(120, 0.04445550844896437)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969066_2	(1, 0.15619200445584872)	(2, 0.0)	(3, 0.027468480646026427)	(4, 0.0)	(5, 0.0)	(6, 0.0002462536977231383)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.790935983441006e-05)	(120, 4.925073954462766e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969067_1	(1, 0.06792222101178523)	(2, 0.0)	(3, 0.015087965211161613)	(4, 2.6377561557974846e-05)	(5, 0.11872540457244479)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.057624420979551845)	(50, 0.0)	(55, 0.0)	(60, 0.004906226449783321)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 2.1102049246379878e-05)	(100, 0.0)	(105, 0.05759804341799388)	(110, 0.0)	(115, 0.0)	(120, 0.05871117651574041)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969067_2	(1, 0.16203736065063948)	(2, 0.0)	(3, 0.02497955079540218)	(4, 0.0)	(5, 0.0)	(6, 0.00013188780778987424)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.6377561557974846e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969068_1	(1, 0.07082724806084623)	(2, 0.0)	(3, 0.0163703442119964)	(4, 2.21820382276374e-05)	(5, 0.11607860604522652)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.04734090598542374)	(50, 0.0)	(55, 0.0)	(60, 0.0051551056841029315)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.3309222936582439e-05)	(100, 0.0)	(105, 0.048099531692808936)	(110, 0.0)	(115, 0.0)	(120, 0.04990514960453862)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR15969068_2	(1, 0.15804702237191648)	(2, 0.0)	(3, 0.027106450714172902)	(4, 0.0)	(5, 0.0)	(6, 0.000332730573414561)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 8.87281529105496e-06)	(120, 8.87281529105496e-06)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
