Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR15969065_1	(1.0, 13.267443833979453)	(2.0, 6.314714344371958)	(3.0, 3.6296668780772623)	(4.0, 2.330266284266357)	(5.0, 1.6074045054401667)	(6.0, 1.251539118301902)	(7.0, 0.9662303051633365)	(8.0, 0.802942373069096)	(9.0, 0.6971683312183125)	('>10', 8.712890851365414)	('>50', 2.6061668456304465)	('>100', 4.411293801131704)	('>500', 2.150038481545424)	('>1k', 8.068562548040777)	('>5k', 7.069686233473414)	('>10k+', 36.11398526492497)
SRR15969065_2	(1.0, 12.656703103791116)	(2.0, 6.105922461761353)	(3.0, 3.5896263220083893)	(4.0, 2.327748954368382)	(5.0, 1.6435392025689597)	(6.0, 1.1870298727516773)	(7.0, 1.059141310809093)	(8.0, 0.8190156999280138)	(9.0, 0.7309166275555494)	('>10', 9.264007803939565)	('>50', 2.8546939551863897)	('>100', 3.908882661834751)	('>500', 1.9391508118479652)	('>1k', 8.756875140004684)	('>5k', 6.061279773187648)	('>10k+', 37.09546629845648)
SRR15969066_1	(1.0, 22.177295978885137)	(2.0, 9.09660871118832)	(3.0, 5.6061119129980925)	(4.0, 3.8105031529768922)	(5.0, 3.0239555964707017)	(6.0, 2.450918809097527)	(7.0, 2.018700390964709)	(8.0, 1.8583865234796568)	(9.0, 1.5161576757031305)	('>10', 20.56325139943585)	('>50', 6.836692494439483)	('>100', 9.496934045024373)	('>500', 2.1222890790729454)	('>1k', 4.9292855750760864)	('>5k', 2.128177401404545)	('>10k+', 2.364731253782503)
SRR15969066_2	(1.0, 20.273110747125344)	(2.0, 9.001702887370058)	(3.0, 5.753305215496801)	(4.0, 4.190831399932412)	(5.0, 3.3231043275574073)	(6.0, 2.6364183943418933)	(7.0, 2.2535505043743047)	(8.0, 2.0159617239077803)	(9.0, 1.7338569727244069)	('>10', 21.902509285123234)	('>50', 6.641815809921189)	('>100', 7.9290464560114415)	('>500', 2.523967823483408)	('>1k', 4.860216752401532)	('>5k', 1.0641714447744206)	('>10k+', 3.896430255454343)
SRR15969067_1	(1.0, 22.54337091884314)	(2.0, 8.955023918842988)	(3.0, 5.470294708391118)	(4.0, 3.745925668703523)	(5.0, 2.880538470051872)	(6.0, 2.2809207306461308)	(7.0, 1.920980274885256)	(8.0, 1.68113872912298)	(9.0, 1.433502032306186)	('>10', 20.24181105082124)	('>50', 7.0210031483538975)	('>100', 10.301378275376035)	('>500', 2.7939432219130906)	('>1k', 5.933238828571151)	('>5k', 1.2067793644757943)	('>10k+', 1.590150658695598)
SRR15969067_2	(1.0, 20.346896399504978)	(2.0, 8.795782843181707)	(3.0, 5.484707942347931)	(4.0, 3.974034362111874)	(5.0, 3.062840469346334)	(6.0, 2.526661893600449)	(7.0, 2.119888275825841)	(8.0, 1.8485797282907752)	(9.0, 1.6192447190543913)	('>10', 21.86783592091243)	('>50', 6.8574704601675)	('>100', 9.86603568568614)	('>500', 3.1299125202821356)	('>1k', 4.5859440887140535)	('>5k', 1.4156423432326974)	('>10k+', 2.4985223477407015)
SRR15969068_1	(1.0, 21.59254286962075)	(2.0, 8.90146671919463)	(3.0, 5.493363844341397)	(4.0, 3.9075982633227384)	(5.0, 2.9094757066316363)	(6.0, 2.3702425537452183)	(7.0, 1.9733661381099121)	(8.0, 1.6764111463833793)	(9.0, 1.4812237693936023)	('>10', 19.669204955091264)	('>50', 6.756381238513706)	('>100', 9.896182850274867)	('>500', 2.572325507639284)	('>1k', 5.144084095967813)	('>5k', 3.2541168437366297)	('>10k+', 2.4020134980331496)
SRR15969068_2	(1.0, 18.745426944628587)	(2.0, 8.66579104250254)	(3.0, 5.666839040171652)	(4.0, 4.098544042851053)	(5.0, 3.2210976967960594)	(6.0, 2.5809250719378336)	(7.0, 2.224856897065955)	(8.0, 1.802154775824735)	(9.0, 1.6230140362504086)	('>10', 21.174521140505284)	('>50', 6.69703765240694)	('>100', 9.255572204502528)	('>500', 2.8192678952320454)	('>1k', 5.653095769063009)	('>5k', 1.238334493039512)	('>10k+', 4.533521297221855)
SRR15969069_1	(1.0, 27.13893108258284)	(2.0, 11.232502089581025)	(3.0, 6.14967848696851)	(4.0, 3.850200328334192)	(5.0, 2.8602677839748782)	(6.0, 2.1475405933320815)	(7.0, 1.876565835121688)	(8.0, 1.5802776096710016)	(9.0, 1.3180105580267172)	('>10', 16.00838503956163)	('>50', 4.448598424798434)	('>100', 6.59024770936841)	('>500', 2.174788613313887)	('>1k', 5.039191772961735)	('>5k', 3.714669385779327)	('>10k+', 3.870144686623604)
SRR15969069_2	(1.0, 26.194067120836493)	(2.0, 11.080054020364868)	(3.0, 6.374488807667879)	(4.0, 4.167487005548591)	(5.0, 3.019440266032437)	(6.0, 2.3429082435565984)	(7.0, 1.9743226662526587)	(8.0, 1.645921385301248)	(9.0, 1.4079233770679438)	('>10', 16.78309733669645)	('>50', 4.272528962549107)	('>100', 5.441389392434631)	('>500', 2.1463153681688225)	('>1k', 5.739852401467589)	('>5k', 1.6581321811068295)	('>10k+', 5.752071464947833)
SRR15969070_1	(1.0, 22.773599964059287)	(2.0, 8.930033510331896)	(3.0, 5.5348269560356576)	(4.0, 3.8716025116595443)	(5.0, 2.977255618365492)	(6.0, 2.399029902002262)	(7.0, 1.9587595296397142)	(8.0, 1.6992279024601404)	(9.0, 1.49436189061928)	('>10', 20.032764823614798)	('>50', 6.943933107684646)	('>100', 10.37272535780127)	('>500', 2.63511806038796)	('>1k', 4.600952620324476)	('>5k', 1.420236248192126)	('>10k+', 2.3555719968214257)
SRR15969070_2	(1.0, 20.36264796298871)	(2.0, 8.590357935609221)	(3.0, 5.539878978563749)	(4.0, 4.140642380947577)	(5.0, 3.156966872138577)	(6.0, 2.630168992466468)	(7.0, 2.1826047523991887)	(8.0, 1.8793587799920453)	(9.0, 1.7082122055721307)	('>10', 22.14575659921614)	('>50', 7.1141000122738856)	('>100', 9.35584276353169)	('>500', 2.273139356900748)	('>1k', 4.277112452871855)	('>5k', 0.9134292052373171)	('>10k+', 3.729780749290686)
SRR15969071_1	(1.0, 22.546900432334958)	(2.0, 9.5717715053063)	(3.0, 5.796599717333877)	(4.0, 4.046986818564654)	(5.0, 2.9286599550984365)	(6.0, 2.3582951491223123)	(7.0, 1.8858983340966338)	(8.0, 1.6830003332080135)	(9.0, 1.4420595002689878)	('>10', 18.126753080062333)	('>50', 5.943354240141658)	('>100', 10.26695520307403)	('>500', 3.545241133658007)	('>1k', 6.616687045644576)	('>5k', 1.107726010734938)	('>10k+', 2.1331115413503388)
SRR15969071_2	(1.0, 20.57232308841359)	(2.0, 9.270750235129508)	(3.0, 6.000748311356378)	(4.0, 4.256810280475625)	(5.0, 3.163772769996106)	(6.0, 2.501524616276353)	(7.0, 2.0960076117267183)	(8.0, 1.7570599602159953)	(9.0, 1.4749928764885345)	('>10', 18.488353948034923)	('>50', 5.877428057365383)	('>100', 11.30123413765443)	('>500', 3.8016267640363055)	('>1k', 4.886136870711498)	('>5k', 1.1730009611277186)	('>10k+', 3.378229510990982)
