"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS01370","None","None","None"
"ATU_RS01375","None","Up","None"
"ATU_RS01380","None","Down","None"
"ATU_RS01385","None","None","None"
"ATU_RS01390","None","None","None"
"ATU_RS01395","None","Down","None"
"ATU_RS01400","None","None","None"
"ATU_RS01405","None","None","None"
"ATU_RS01410","None","None","None"
"ATU_RS01415","None","Down","None"
"ATU_RS01420","None","None","None"
"ATU_RS01425","None","None","None"
"ATU_RS01430","None","None","None"
"ATU_RS01435","None","None","None"
"ATU_RS01440","None","Down","Down"
"ATU_RS01445","None","Up","None"
"ATU_RS01450","None","Up","None"
"ATU_RS01455","None","Up","None"
"ATU_RS01460","None","None","Down"
"ATU_RS01465","None","None","Down"
"ATU_RS01470","None","None","Down"
"ATU_RS01475","None","None","Down"
"ATU_RS01480","None","Down","None"
"ATU_RS01485","None","Down","Down"
"ATU_RS01490","None","None","None"
"ATU_RS01495","Down","Down","Down"
"ATU_RS01500","None","None","None"
"ATU_RS01505","None","None","None"
"ATU_RS01510","None","None","None"
"ATU_RS01515","None","None","None"
"ATU_RS01520","None","None","None"
"ATU_RS01525","None","None","None"
"ATU_RS01530","None","Down","None"
"ATU_RS01535","None","Down","Down"
"ATU_RS01540","None","None","None"
"ATU_RS01545","None","None","None"
"ATU_RS01550","None","Down","None"
"ATU_RS01555","None","Down","Down"
"ATU_RS01560","None","None","None"
"ATU_RS01565","None","None","None"
"ATU_RS01570","None","Down","None"
"ATU_RS01575","None","None","None"
"ATU_RS01580","None","None","Down"
"ATU_RS01585","None","Down","None"
"ATU_RS01590","None","None","None"
"ATU_RS01595","None","None","None"
"ATU_RS01600","None","None","None"
"ATU_RS01605","None","None","None"
"ATU_RS01610","None","None","None"
"ATU_RS01615","None","None","None"
"ATU_RS01620","None","Down","None"
"ATU_RS01625","None","Down","None"
"ATU_RS01630","None","None","None"
"ATU_RS01635","None","None","None"
"ATU_RS01640","None","None","None"
"ATU_RS01645","None","None","None"
"ATU_RS01650","None","None","None"
"ATU_RS01655","None","None","None"
"ATU_RS01660","None","None","None"
"ATU_RS01665","None","None","None"
"ATU_RS01670","None","None","None"
"ATU_RS01675","None","None","None"
"ATU_RS01680","None","None","None"
"ATU_RS01685","None","None","Up"
"ATU_RS01690","None","None","Up"
"ATU_RS01695","None","None","Up"
"ATU_RS01700","None","None","None"
"ATU_RS01705","None","None","Up"
"ATU_RS01710","None","None","None"
