Name	GeneID	old	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atu0951	ATU_RS04700	Atu0951	432.206578243077	-1.64082866324217	0.355036100555024	-4.62158259590245	3.80823653843702e-06	0.000291125036299901
Atu1047	ATU_RS05190	Atu1047	20.3381586383858	-2.59641279639603	0.84958022545868	-3.05611255840407	0.00224227062982856	0.0320167895391325
Atu1048	ATU_RS05195	Atu1048	7.00954055266005	-3.49438530562354	0.895729187989826	-3.90116270908349	9.57317769026516e-05	0.00389910819204324
Atu1049	ATU_RS05200	Atu1049	14.1789100178146	-1.83652943765985	0.595451673613743	-3.0842627857843	0.00204057266137248	0.0307260774374541
Atu1078	ATU_RS05340	Atu1078	12.5549672536329	-1.20134402733561	0.359670411414524	-3.34012470642476	0.000837407775213654	0.0172658889420608
Atu1148	ATU_RS05670	Atu1148	56.6362861667049	-3.85973355438211	0.925312951365239	-4.17127367415243	3.02901810477241e-05	0.00165397702885869
Atu1181	ATU_RS05830	Atu1181	28.1447598117212	-1.13774498459958	0.356647397052918	-3.19011156116967	0.00142217882166172	0.0246589963637126
Atu1206	ATU_RS05960	Atu1206	33.636675176522	-1.30742301740114	0.37236861587295	-3.51109884579325	0.000446258431089925	0.0111430057491751
Atu1263	ATU_RS06230	Atu1263	326.751013658762	-3.85576818060435	0.59886253952485	-6.43848617357765	1.20670950626892e-10	5.97041071988454e-08
dnaE	ATU_RS06360	Atu1292	1186.94908573921	-1.69979589738461	0.26235792315213	-6.47891962614358	9.23816945592987e-11	5.10049600294617e-08
Atu1325	ATU_RS06535	Atu1325	10.3316051903387	-1.24564445766115	0.425237764016879	-2.92928936013242	0.0033973799088326	0.0424160320778623
Atu1388	ATU_RS06850	Atu1388	435.20621115155	-7.78656573083537	0.916144114954805	-8.49928041203376	1.90769562912261e-17	9.47933958111024e-14
Atu1389	ATU_RS06855	Atu1389	87.5451429901663	-6.40694246171456	1.10546064771595	-5.79572187843344	6.80279216953669e-09	1.30011824193953e-06
Atu1390	ATU_RS06860	Atu1390	39.4398381670826	-4.71314915751153	0.86744812260116	-5.43334988538394	5.53058122087046e-08	7.85184516757294e-06
Atu1391	ATU_RS06865	Atu1391	116.656450459519	-4.39672216272569	0.816708654110034	-5.38346464262313	7.3065605224026e-08	1.00850831210607e-05
fad	ATU_RS06995	Atu1417	88.4339377029561	-2.08080966380917	0.531477721876868	-3.91513995442927	9.03517823002981e-05	0.00371039674586926
Atu1468	ATU_RS07230	Atu1468	2259.01976137721	-2.45537363359383	0.771207941324274	-3.18380232104147	0.00145354239351075	0.0250786533102601
Atu1469	ATU_RS07235	Atu1469	133.546429658716	-1.49669724595564	0.496648364706153	-3.01359543757116	0.00258171824849237	0.0349492759093418
prtR	ATU_RS07310	Atu1484	13.2887692264007	-1.88163841965622	0.569572783387073	-3.30359608910155	0.000954532509379441	0.018673511964986
Atu1487	ATU_RS07325	Atu1487	17.5905847650865	-1.93605608117083	0.629670687233454	-3.07471210018869	0.00210705841237647	0.031333922420567
tnp	ATU_RS07330	Atu1488	10.6927019174238	-1.89024957006955	0.476255633693052	-3.9689810184751	7.21806306454053e-05	0.00306551755279503
arsH	ATU_RS07335	Atu1489	90.1595020747003	-3.39270438819709	0.568993726361699	-5.96263935964808	2.48195812300915e-09	5.55490522484175e-07
arsC	ATU_RS07340	Atu1490	50.5386990015012	-3.46528410658594	0.705149423690001	-4.91425503612034	8.91206768356029e-07	8.51616621530982e-05
Atu1491	ATU_RS07345	Atu1491	123.346778805843	-2.79591777785349	0.458189001264246	-6.10210583435859	1.04680020151013e-09	2.73765800068623e-07
