GeneID	old	Name
ATU_RS01910	Atu0397	Atu0397
ATU_RS01915	Atu0398	Atu0398
ATU_RS01920	Atu0399	pyrC
ATU_RS01925	Atu0400	pyrE
ATU_RS01930	Atu0401	scrK
ATU_RS01935	Atu0402	Atu0402
ATU_RS01940	Atu0403	Atu0403
ATU_RS01945	Atu0404	pgi
ATU_RS01950	Atu0405	fadD
ATU_RS01955	Atu0406	fbpA1
ATU_RS01960	Atu0407	fbpA
ATU_RS01965	Atu0408	fbpA3
ATU_RS01970	Atu0409	Atu0409
ATU_RS01975	Atu0410	Atu0410
ATU_RS01980	Atu8119	Atu8119
ATU_RS01985	Atu8120	Atu8120
ATU_RS01990	Atu0413	Atu0413
ATU_RS01995	Atu0414	Atu0414
ATU_RS02000	Atu0415	Atu0415
ATU_RS02005	Atu8121	Atu8121
ATU_RS02010	Atu0418	Atu0418
ATU_RS02015	Atu0419	Atu0419
ATU_RS02020	Atu0420	Atu0420
ATU_RS02025	Atu0421	pstC
ATU_RS02030	Atu0422	pstA
ATU_RS02035	Atu0423	pstB
ATU_RS02040	Atu0424	phoU
ATU_RS02045	Atu0425	phoB
ATU_RS02055	Atu0428	argD
ATU_RS02060	Atu0429	argF
ATU_RS02065	Atu0430	hslO
ATU_RS02070	Atu0431	apaG
ATU_RS02075	Atu0432	Atu0432
ATU_RS02085	Atu0434	dcd
ATU_RS02090	Atu0435	Atu0435
ATU_RS02095	Atu0436	Atu0436
ATU_RS02100	Atu0437	Atu0437
ATU_RS02105	Atu0438	intD
ATU_RS02115	Atu8122	Atu8122
ATU_RS02135	Atu8123	Atu8123
ATU_RS02145	Atu8124	Atu8124
ATU_RS02150	Atu0443	Atu0443
ATU_RS02155	Atu0444	Atu0444
ATU_RS02160	Atu0445	Atu0445
ATU_RS02170	Atu0446	Atu0446
ATU_RS02180	Atu8082	Atu8082
ATU_RS02185	Atu0447	Atu0447
ATU_RS02190	Atu0448	Atu0448
ATU_RS02195	Atu0449	Atu0449
ATU_RS02200	Atu0450	nusG
ATU_RS02205	Atu8125	Atu8125
ATU_RS02210	Atu8083	Atu8083
ATU_RS02230	Atu0453	Atu0453
ATU_RS02235	Atu0454	Atu0454
ATU_RS02245	Atu8126	Atu8126
ATU_RS02250	Atu8127	Atu8127
ATU_RS02260	Atu0458	Atu0458
ATU_RS02265	Atu8128	Atu8128
ATU_RS02270	Atu0460	Atu0460
ATU_RS02275	Atu0461	Atu0461
ATU_RS02280	Atu0462	Atu0462
ATU_RS02290	Atu0464	Atu0464
ATU_RS02295	Atu0465	Atu0465
ATU_RS02300	Atu0466	Atu0466
ATU_RS02305	Atu0468	Atu0468
ATU_RS02310	Atu0470	Atu0470
ATU_RS02315	Atu0471	Atu0471
ATU_RS02320	Atu0472	Atu0472
ATU_RS02325	Atu0473	Atu0473
ATU_RS02330	Atu0474	Atu0474
ATU_RS02335	Atu0475	Atu0475
ATU_RS02340	Atu0476	aqpZ
ATU_RS02345	Atu0477	Atu0477
ATU_RS02350	Atu0478	Atu0478
ATU_RS02355	Atu0479	Atu0479
ATU_RS02360	Atu0480	Atu0480
ATU_RS02370	Atu0481	exoQ
ATU_RS02375	Atu0482	Atu0482
ATU_RS02380	Atu0483	c1
ATU_RS02385	Atu0484	Atu0484
ATU_RS02390	Atu0485	Atu0485
ATU_RS02395	Atu0486	pyrD
ATU_RS02400	Atu8129	Atu8129
ATU_RS02405	Atu0488	Atu0488
ATU_RS02410	Atu0489	Atu0489
ATU_RS02415	Atu0490	Atu0490
ATU_RS02420	Atu0491	Atu0491
ATU_RS02425	Atu0492	Atu0492
ATU_RS02430	Atu0493	Atu0493
ATU_RS02435	Atu0494	lhr
ATU_RS02440	Atu0495	Atu0495
ATU_RS02445	Atu0496	Atu0496
ATU_RS02450	Atu8130	Atu8130
ATU_RS02455	Atu0498	Atu0498
ATU_RS02460	Atu0499	Atu0499
ATU_RS02465	Atu0501	acd
ATU_RS02470	Atu0502	Atu0502
ATU_RS02475	Atu0503	fadB
ATU_RS02480	Atu0504	Atu0504
ATU_RS02485	Atu0505	Atu0505
ATU_RS02490	Atu0506	Atu0506
ATU_RS02495	Atu0507	phaG
ATU_RS02500	Atu0508	phaF
ATU_RS02505	Atu0509	phaE
ATU_RS02510	Atu0510	phaD
ATU_RS02515	Atu0511	phaC
ATU_RS02520	Atu8131	phaA
ATU_RS02525	Atu0513	Atu0513
ATU_RS02530	Atu0514	Atu0514
ATU_RS02535	Atu0515	Atu0515
ATU_RS02540	Atu0516	cheY
ATU_RS02545	Atu0517	cheA
ATU_RS02550	Atu0518	cheR
ATU_RS02555	Atu0519	cheB
ATU_RS02560	Atu0520	cheY
ATU_RS02565	Atu0521	cheD
ATU_RS02570	Atu0522	Atu0522
ATU_RS02575	Atu0523	fliF
ATU_RS02580	Atu0524	luxR
ATU_RS02585	Atu0525	agrR
ATU_RS02590	Atu0526	mclA
ATU_RS02595	Atu0527	Atu0527
ATU_RS02600	Atu0528	mscL
ATU_RS02605	Atu0529	aspB
ATU_RS02610	Atu0530	galE
ATU_RS02615	Atu0531	Atu0531
ATU_RS02625	Atu0533	maf-2
ATU_RS02630	Atu0534	infA
ATU_RS02635	Atu0535	Atu0535
ATU_RS02640	Atu0536	Atu0536
ATU_RS02645	Atu0537	hisD
ATU_RS02650	Atu0538	Atu0538
ATU_RS02655	Atu0539	murA
ATU_RS02660	Atu0540	Atu0540
ATU_RS02665	Atu0541	Atu0541
ATU_RS02670	Atu0542	fla
ATU_RS02675	Atu0543	flaB
ATU_RS02680	Atu0544	Atu0544
ATU_RS02685	Atu0545	flaA
ATU_RS02690	Atu0546	fliP
ATU_RS02695	Atu0547	fliL
ATU_RS02700	Atu0548	flgH
ATU_RS02705	Atu0549	Atu0549
ATU_RS02710	Atu0550	flgI
ATU_RS02715	Atu0551	flgA
ATU_RS02720	Atu0552	flgG
ATU_RS02725	Atu0553	fliE
ATU_RS02730	Atu0554	flgC
ATU_RS02735	Atu0555	flgB
ATU_RS02740	Atu0556	Atu0556
ATU_RS02745	Atu0557	fliI
ATU_RS02750	Atu0558	flgF
ATU_RS02755	Atu0559	Atu0559
ATU_RS02760	Atu0560	motA
ATU_RS02765	Atu0561	fliM
ATU_RS02770	Atu0562	fliN
ATU_RS02775	Atu0563	fliG
ATU_RS02780	Atu0564	flhB
ATU_RS02785	Atu0565	Atu0565
ATU_RS02790	Atu0567	flaD
ATU_RS02795	Atu0568	Atu0568
ATU_RS02800	Atu0569	motB
ATU_RS02805	Atu0570	Atu0570
ATU_RS02810	Atu0571	motD
ATU_RS02815	Atu0572	Atu0572
ATU_RS02820	Atu0573	Atu0573
ATU_RS02825	Atu0574	flgE
ATU_RS02830	Atu0575	flgK
ATU_RS02835	Atu0576	flgL
ATU_RS02840	Atu0577	flaF
ATU_RS02845	Atu0578	flbT
ATU_RS02850	Atu0579	flgD
ATU_RS02855	Atu0580	fliQ
ATU_RS02860	Atu0581	flhA
ATU_RS02865	Atu0582	fliR
ATU_RS02870	Atu0583	Atu0583
ATU_RS02875	Atu0584	Atu0584
ATU_RS02880	Atu0585	Atu0585
ATU_RS02885	Atu8132	Atu8132
ATU_RS02890	Atu0587	tagA
ATU_RS02895	Atu0588	Atu0588
ATU_RS02900	Atu0589	folD
ATU_RS02905	Atu0590	aglR
ATU_RS02910	Atu0591	aglE
ATU_RS02915	Atu0592	aglF
ATU_RS02920	Atu0593	aglG
ATU_RS02925	Atu0594	aglA
ATU_RS02930	Atu0595	aglK
ATU_RS02935	Atu8133	Atu8133
ATU_RS02940	Atu0597	Atu0597
ATU_RS02945	Atu0598	edd
ATU_RS02950	Atu0599	pgl
ATU_RS02955	Atu0600	zwf
ATU_RS02960	Atu0601	ordL
ATU_RS02965	Atu0602	glnA
ATU_RS02970	Atu0603	Atu0603
ATU_RS02975	Atu0604	Atu0604
ATU_RS02980	Atu0605	Atu0605
ATU_RS02985	Atu0606	Atu0606
ATU_RS02990	Atu0607	aceA
ATU_RS02995	Atu0608	Atu0608
