gene_id,CD0_1_fpkm,CD0_2_fpkm,CD0_3_fpkm,CD3_1_fpkm,CD3_2_fpkm,CD3_3_fpkm,CD4_1_fpkm,CD4_2_fpkm,CD4_3_fpkm,ND0_1_fpkm,ND0_2_fpkm,ND0_3_fpkm,ND3_1_fpkm,ND3_2_fpkm,ND4_1_fpkm,ND4_2_fpkm,ND4_3_fpkm
Atu3210,4.387134799,6.20809749,8.616909294,16.57895798,17.5945582,11.7104033,7.476420519,10.97379355,7.086269309,13.96375833,7.569836917,8.29165533,25.02196488,6.63444185,5.73063473,5.394086581,4.772738963
Atu2562,3.136126649,4.792861706,6.071768242,27.19897481,10.86687629,7.063147116,12.15168438,9.413489574,9.946982034,3.60551665,2.656441229,3.556354993,0.485371987,2.122381494,1.999658427,1.235208637,2.33538355
Atu2563,1.443142402,1.500351986,3.817926694,0,3.571842345,9.286366124,3.994146954,3.094127492,0,3.081260468,0.671652164,2.337882391,1.595373105,0.55808583,0.985904016,0.812003449,1.279365176
Atu2560,41.50238631,33.60122406,58.08025038,52.05037455,67.41017884,38.94632522,23.45161517,72.66862045,37.02229528,34.09571983,34.70370238,41.28380612,5.620335439,3.510855368,5.857644283,3.308182278,3.505500437
Atu2561,98.6834519,87.73080915,107.6118925,45.76797187,51.00022621,116.1780683,65.1772162,254.5564472,120.0419877,104.2677175,121.4749087,186.2321877,4.917455586,6.703724172,12.73646078,12.61944755,7.886834008
Atu2566,1.434352499,2.922778715,1.690354084,13.17159656,7.455182569,3.876517952,0,0,0,0,0.934585763,0.513647355,9.915635478,20.5788742,7.202258114,23.56608461,12.46141351
Atu2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505941447,0,0,0
Atu3219,122.4148615,109.9546864,86.85093657,90.02044798,89.16595841,116.4624085,178.6438434,131.4927343,111.7388628,172.4344307,116.9686692,109.1177474,40.58481264,50.58576818,57.67144021,47.43575118,25.09377357
Atu3218,24.13453987,31.02956222,20.99293783,16.41677252,0,14.49480625,50.65403215,30.18455896,44.65329978,26.35946194,17.82214417,18.24564736,112.8876761,70.05089295,63.15768994,98.67859311,91.52559926
Atu2034,7.822468748,3.503260898,7.091241524,24.55842393,5.212566674,2.710410926,14.57214183,4.515413698,14.31394976,7.955587144,9.017612878,6.464439885,2.172993286,2.171846211,2.637760811,6.094269791,1.991510453
Atu2035,14.33751723,13.53615991,14.35220611,19.76888837,6.713567549,8.727239368,71.31957165,8.723495574,24.58102367,15.14694534,16.91649163,14.3390979,95.35653636,73.42773251,21.15607208,91.13751805,28.69573667
Atu2036,10.15932842,13.30820602,10.26218887,7.486448881,7.822825024,16.2707332,67.24817502,20.32969177,24.16707023,18.03894787,23.53616694,18.4599689,63.53413205,58.66965952,22.13246752,62.43450824,20.87479083
Atu2741,18.74220598,16.97995253,23.34298497,19.51347638,31.47743751,49.96400916,20.3784061,47.35933902,18.19757954,18.13938221,13.45803499,19.97517493,11.44491259,13.37411112,5.33500601,6.456461536,5.221925663
Atu2746,150.9339696,118.3096335,158.33862,52.76307674,81.1931237,107.7299574,54.78870794,31.52902403,117.8869399,150.301236,161.9420826,174.7657089,175.0730399,261.4502138,191.6528522,217.3134996,160.3176785
Atu2031,4.784083695,14.5408638,8.527978671,11.48549864,14.62689812,2.535213261,23.17136774,14.78239998,8.925808974,7.117810815,6.967816596,4.199018303,7.839772628,32.12247255,11.77555509,38.16063359,11.87523295
Atu2032,15.48490336,20.43724144,21.65091827,18.74539273,25.00922947,21.27960918,22.88136313,33.48131221,20.8110617,21.1216791,24.96735925,26.78616314,21.93468299,36.3524312,22.27810945,33.81743444,31.05379198
Atu2745,35.07651837,20.81807416,26.37307923,17.37357828,17.70034144,32.72447056,20.3428888,46.85087986,34.20419282,25.97077974,22.55906556,25.67764094,21.02385288,19.3592442,19.58791175,19.03368822,16.1080971
Atu1031,7562.415336,6526.066516,8532.307614,2978.055492,6618.278203,2715.438301,6013.123817,4649.201036,5319.710166,5173.346488,6598.217697,6996.539749,5372.660811,7277.86979,6689.171901,9449.869757,5064.065779
Atu1030,19.76980563,19.52068699,14.46735651,16.21844909,14.63017036,17.00464519,21.17165949,21.61943713,19.69368926,23.07143486,24.40360238,26.02985537,33.7236891,26.66888674,19.20141809,23.42135587,23.59137936
